Fra,Til,KWH 60 Forbruk
01.08.2021 00:00,01.08.2021 01:00,"1,578"
01.08.2021 01:00,01.08.2021 02:00,"0,916"
01.08.2021 02:00,01.08.2021 03:00,"1,15"
01.08.2021 03:00,01.08.2021 04:00,"0,788"
01.08.2021 04:00,01.08.2021 05:00,"0,735"
01.08.2021 05:00,01.08.2021 06:00,"0,743"
01.08.2021 06:00,01.08.2021 07:00,"0,748"
01.08.2021 07:00,01.08.2021 08:00,"1,456"
01.08.2021 08:00,01.08.2021 09:00,"0,87"
01.08.2021 09:00,01.08.2021 10:00,"0,873"
01.08.2021 10:00,01.08.2021 11:00,"0,871"
01.08.2021 11:00,01.08.2021 12:00,"1,994"
01.08.2021 12:00,01.08.2021 13:00,"2,186"
01.08.2021 13:00,01.08.2021 14:00,"1,904"
01.08.2021 14:00,01.08.2021 15:00,"1,241"
01.08.2021 15:00,01.08.2021 16:00,"0,793"
01.08.2021 16:00,01.08.2021 17:00,"1,282"
01.08.2021 17:00,01.08.2021 18:00,"0,764"
01.08.2021 18:00,01.08.2021 19:00,"0,778"
01.08.2021 19:00,01.08.2021 20:00,"0,744"
01.08.2021 20:00,01.08.2021 21:00,"1,286"
01.08.2021 21:00,01.08.2021 22:00,"1,232"
01.08.2021 22:00,01.08.2021 23:00,"0,893"
01.08.2021 23:00,02.08.2021 00:00,"1,195"
02.08.2021 00:00,02.08.2021 01:00,"0,683"
02.08.2021 01:00,02.08.2021 02:00,"0,709"
02.08.2021 02:00,02.08.2021 03:00,"0,686"
02.08.2021 03:00,02.08.2021 04:00,"0,815"
02.08.2021 04:00,02.08.2021 05:00,"1,118"
02.08.2021 05:00,02.08.2021 06:00,"0,696"
02.08.2021 06:00,02.08.2021 07:00,"0,554"
02.08.2021 07:00,02.08.2021 08:00,"0,735"
02.08.2021 08:00,02.08.2021 09:00,"0,254"
02.08.2021 09:00,02.08.2021 10:00,"0,258"
02.08.2021 10:00,02.08.2021 11:00,"0,3"
02.08.2021 11:00,02.08.2021 12:00,"0,276"
02.08.2021 12:00,02.08.2021 13:00,"0,277"
02.08.2021 13:00,02.08.2021 14:00,"0,751"
02.08.2021 14:00,02.08.2021 15:00,"0,246"
02.08.2021 15:00,02.08.2021 16:00,"0,28"
02.08.2021 16:00,02.08.2021 17:00,"0,284"
02.08.2021 17:00,02.08.2021 18:00,"0,314"
02.08.2021 18:00,02.08.2021 19:00,"0,278"
02.08.2021 19:00,02.08.2021 20:00,"0,749"
02.08.2021 20:00,02.08.2021 21:00,"0,261"
02.08.2021 21:00,02.08.2021 22:00,"0,237"
02.08.2021 22:00,02.08.2021 23:00,"0,509"
02.08.2021 23:00,03.08.2021 00:00,"1,293"
03.08.2021 00:00,03.08.2021 01:00,"0,731"
03.08.2021 01:00,03.08.2021 02:00,"0,726"
03.08.2021 02:00,03.08.2021 03:00,"0,696"
03.08.2021 03:00,03.08.2021 04:00,"0,725"
03.08.2021 04:00,03.08.2021 05:00,"1,118"
03.08.2021 05:00,03.08.2021 06:00,"0,721"
03.08.2021 06:00,03.08.2021 07:00,"0,724"
03.08.2021 07:00,03.08.2021 08:00,"0,826"
03.08.2021 08:00,03.08.2021 09:00,"1,609"
03.08.2021 09:00,03.08.2021 10:00,"1,09"
03.08.2021 10:00,03.08.2021 11:00,"1,543"
03.08.2021 11:00,03.08.2021 12:00,"1,023"
03.08.2021 12:00,03.08.2021 13:00,"0,807"
03.08.2021 13:00,03.08.2021 14:00,"0,773"
03.08.2021 14:00,03.08.2021 15:00,"0,805"
03.08.2021 15:00,03.08.2021 16:00,"1,272"
03.08.2021 16:00,03.08.2021 17:00,"1,239"
03.08.2021 17:00,03.08.2021 18:00,"0,971"
03.08.2021 18:00,03.08.2021 19:00,"0,867"
03.08.2021 19:00,03.08.2021 20:00,"1,379"
03.08.2021 20:00,03.08.2021 21:00,"0,874"
03.08.2021 21:00,03.08.2021 22:00,"0,858"
03.08.2021 22:00,03.08.2021 23:00,"1,42"
03.08.2021 23:00,04.08.2021 00:00,"0,748"
04.08.2021 00:00,04.08.2021 01:00,"0,72"
04.08.2021 01:00,04.08.2021 02:00,"0,738"
04.08.2021 02:00,04.08.2021 03:00,"1,153"
04.08.2021 03:00,04.08.2021 04:00,"0,687"
04.08.2021 04:00,04.08.2021 05:00,"0,717"
04.08.2021 05:00,04.08.2021 06:00,"0,694"
04.08.2021 06:00,04.08.2021 07:00,"1,739"
04.08.2021 07:00,04.08.2021 08:00,"2,543"
04.08.2021 08:00,04.08.2021 09:00,"0,814"
04.08.2021 09:00,04.08.2021 10:00,"0,8"
04.08.2021 10:00,04.08.2021 11:00,"1,2"
04.08.2021 11:00,04.08.2021 12:00,"0,981"
04.08.2021 12:00,04.08.2021 13:00,"1,129"
04.08.2021 13:00,04.08.2021 14:00,"0,883"
04.08.2021 14:00,04.08.2021 15:00,"0,805"
04.08.2021 15:00,04.08.2021 16:00,"1,331"
04.08.2021 16:00,04.08.2021 17:00,"0,878"
04.08.2021 17:00,04.08.2021 18:00,"0,826"
04.08.2021 18:00,04.08.2021 19:00,"0,889"
04.08.2021 19:00,04.08.2021 20:00,"1,381"
04.08.2021 20:00,04.08.2021 21:00,"0,849"
04.08.2021 21:00,04.08.2021 22:00,"0,879"
04.08.2021 22:00,04.08.2021 23:00,"1,345"
04.08.2021 23:00,05.08.2021 00:00,"0,675"
05.08.2021 00:00,05.08.2021 01:00,"0,575"
05.08.2021 01:00,05.08.2021 02:00,"1,106"
05.08.2021 02:00,05.08.2021 03:00,"0,571"
05.08.2021 03:00,05.08.2021 04:00,"0,599"
05.08.2021 04:00,05.08.2021 05:00,"0,569"
05.08.2021 05:00,05.08.2021 06:00,"0,598"
05.08.2021 06:00,05.08.2021 07:00,"0,956"
05.08.2021 07:00,05.08.2021 08:00,"1,028"
05.08.2021 08:00,05.08.2021 09:00,"1,945"
05.08.2021 09:00,05.08.2021 10:00,"1,115"
05.08.2021 10:00,05.08.2021 11:00,"1,512"
05.08.2021 11:00,05.08.2021 12:00,"0,556"
05.08.2021 12:00,05.08.2021 13:00,"0,547"
05.08.2021 13:00,05.08.2021 14:00,"0,453"
05.08.2021 14:00,05.08.2021 15:00,"0,954"
05.08.2021 15:00,05.08.2021 16:00,"0,465"
05.08.2021 16:00,05.08.2021 17:00,"0,434"
05.08.2021 17:00,05.08.2021 18:00,"1,169"
05.08.2021 18:00,05.08.2021 19:00,"0,631"
05.08.2021 19:00,05.08.2021 20:00,"0,942"
05.08.2021 20:00,05.08.2021 21:00,"0,396"
05.08.2021 21:00,05.08.2021 22:00,"0,907"
05.08.2021 22:00,05.08.2021 23:00,"1,22"
05.08.2021 23:00,06.08.2021 00:00,"0,695"
06.08.2021 00:00,06.08.2021 01:00,"1,289"
06.08.2021 01:00,06.08.2021 02:00,"0,696"
06.08.2021 02:00,06.08.2021 03:00,"0,713"
06.08.2021 03:00,06.08.2021 04:00,"1,233"
06.08.2021 04:00,06.08.2021 05:00,"0,688"
06.08.2021 05:00,06.08.2021 06:00,"0,715"
06.08.2021 06:00,06.08.2021 07:00,"0,713"
06.08.2021 07:00,06.08.2021 08:00,"0,76"
06.08.2021 08:00,06.08.2021 09:00,"1,488"
06.08.2021 09:00,06.08.2021 10:00,"1,132"
06.08.2021 10:00,06.08.2021 11:00,"0,704"
06.08.2021 11:00,06.08.2021 12:00,"1,08"
06.08.2021 12:00,06.08.2021 13:00,"0,994"
06.08.2021 13:00,06.08.2021 14:00,"1,011"
06.08.2021 14:00,06.08.2021 15:00,"1,337"
06.08.2021 15:00,06.08.2021 16:00,"1,4"
06.08.2021 16:00,06.08.2021 17:00,"1,752"
06.08.2021 17:00,06.08.2021 18:00,"1,33"
06.08.2021 18:00,06.08.2021 19:00,"3,153"
06.08.2021 19:00,06.08.2021 20:00,"2,712"
06.08.2021 20:00,06.08.2021 21:00,"1,576"
06.08.2021 21:00,06.08.2021 22:00,"0,592"
06.08.2021 22:00,06.08.2021 23:00,"0,566"
06.08.2021 23:00,07.08.2021 00:00,"0,979"
07.08.2021 00:00,07.08.2021 01:00,"0,989"
07.08.2021 01:00,07.08.2021 02:00,"0,626"
07.08.2021 02:00,07.08.2021 03:00,"0,607"
07.08.2021 03:00,07.08.2021 04:00,"0,598"
07.08.2021 04:00,07.08.2021 05:00,"0,946"
07.08.2021 05:00,07.08.2021 06:00,"0,605"
07.08.2021 06:00,07.08.2021 07:00,"0,645"
07.08.2021 07:00,07.08.2021 08:00,"1,134"
07.08.2021 08:00,07.08.2021 09:00,"0,65"
07.08.2021 09:00,07.08.2021 10:00,"0,681"
07.08.2021 10:00,07.08.2021 11:00,"1,459"
07.08.2021 11:00,07.08.2021 12:00,"0,514"
07.08.2021 12:00,07.08.2021 13:00,"0,549"
07.08.2021 13:00,07.08.2021 14:00,"0,946"
07.08.2021 14:00,07.08.2021 15:00,"0,265"
07.08.2021 15:00,07.08.2021 16:00,"0,265"
07.08.2021 16:00,07.08.2021 17:00,"0,224"
07.08.2021 17:00,07.08.2021 18:00,"0,743"
07.08.2021 18:00,07.08.2021 19:00,"0,256"
07.08.2021 19:00,07.08.2021 20:00,"0,22"
07.08.2021 20:00,07.08.2021 21:00,"0,245"
07.08.2021 21:00,07.08.2021 22:00,"0,212"
07.08.2021 22:00,07.08.2021 23:00,"0,661"
07.08.2021 23:00,08.08.2021 00:00,"0,285"
08.08.2021 00:00,08.08.2021 01:00,"0,181"
08.08.2021 01:00,08.08.2021 02:00,"0,21"
08.08.2021 02:00,08.08.2021 03:00,"0,173"
08.08.2021 03:00,08.08.2021 04:00,"0,205"
08.08.2021 04:00,08.08.2021 05:00,"0,493"
08.08.2021 05:00,08.08.2021 06:00,"0,391"
08.08.2021 06:00,08.08.2021 07:00,"0,232"
08.08.2021 07:00,08.08.2021 08:00,"0,231"
08.08.2021 08:00,08.08.2021 09:00,"0,266"
08.08.2021 09:00,08.08.2021 10:00,"0,255"
08.08.2021 10:00,08.08.2021 11:00,"0,297"
08.08.2021 11:00,08.08.2021 12:00,"0,864"
08.08.2021 12:00,08.08.2021 13:00,"0,272"
08.08.2021 13:00,08.08.2021 14:00,"0,257"
08.08.2021 14:00,08.08.2021 15:00,"0,249"
08.08.2021 15:00,08.08.2021 16:00,"0,283"
08.08.2021 16:00,08.08.2021 17:00,"0,254"
08.08.2021 17:00,08.08.2021 18:00,"1,87"
08.08.2021 18:00,08.08.2021 19:00,"1,567"
08.08.2021 19:00,08.08.2021 20:00,"2,283"
08.08.2021 20:00,08.08.2021 21:00,"3,37"
08.08.2021 21:00,08.08.2021 22:00,"3,327"
08.08.2021 22:00,08.08.2021 23:00,"1,083"
08.08.2021 23:00,09.08.2021 00:00,"0,746"
09.08.2021 00:00,09.08.2021 01:00,"1,261"
09.08.2021 01:00,09.08.2021 02:00,"0,736"
09.08.2021 02:00,09.08.2021 03:00,"0,704"
09.08.2021 03:00,09.08.2021 04:00,"0,73"
09.08.2021 04:00,09.08.2021 05:00,"0,933"
09.08.2021 05:00,09.08.2021 06:00,"1,049"
09.08.2021 06:00,09.08.2021 07:00,"0,754"
09.08.2021 07:00,09.08.2021 08:00,1
09.08.2021 08:00,09.08.2021 09:00,"0,579"
09.08.2021 09:00,09.08.2021 10:00,"0,456"
09.08.2021 10:00,09.08.2021 11:00,"0,413"
09.08.2021 11:00,09.08.2021 12:00,"0,312"
09.08.2021 12:00,09.08.2021 13:00,"0,798"
09.08.2021 13:00,09.08.2021 14:00,"0,309"
09.08.2021 14:00,09.08.2021 15:00,"0,285"
09.08.2021 15:00,09.08.2021 16:00,"0,329"
09.08.2021 16:00,09.08.2021 17:00,"1,016"
09.08.2021 17:00,09.08.2021 18:00,"1,788"
09.08.2021 18:00,09.08.2021 19:00,"1,559"
09.08.2021 19:00,09.08.2021 20:00,"1,152"
09.08.2021 20:00,09.08.2021 21:00,"1,104"
09.08.2021 21:00,09.08.2021 22:00,"1,819"
09.08.2021 22:00,09.08.2021 23:00,"0,965"
09.08.2021 23:00,10.08.2021 00:00,"1,308"
10.08.2021 00:00,10.08.2021 01:00,"0,761"
10.08.2021 01:00,10.08.2021 02:00,"0,777"
10.08.2021 02:00,10.08.2021 03:00,"0,777"
10.08.2021 03:00,10.08.2021 04:00,"1,271"
10.08.2021 04:00,10.08.2021 05:00,"0,776"
10.08.2021 05:00,10.08.2021 06:00,"0,773"
10.08.2021 06:00,10.08.2021 07:00,"0,476"
10.08.2021 07:00,10.08.2021 08:00,"1,991"
10.08.2021 08:00,10.08.2021 09:00,"0,96"
10.08.2021 09:00,10.08.2021 10:00,"0,376"
10.08.2021 10:00,10.08.2021 11:00,"0,353"
10.08.2021 11:00,10.08.2021 12:00,"0,45"
10.08.2021 12:00,10.08.2021 13:00,"1,746"
10.08.2021 13:00,10.08.2021 14:00,"1,032"
10.08.2021 14:00,10.08.2021 15:00,"1,006"
10.08.2021 15:00,10.08.2021 16:00,"1,466"
10.08.2021 16:00,10.08.2021 17:00,"1,537"
10.08.2021 17:00,10.08.2021 18:00,"3,067"
10.08.2021 18:00,10.08.2021 19:00,"1,796"
10.08.2021 19:00,10.08.2021 20:00,"1,531"
10.08.2021 20:00,10.08.2021 21:00,"1,633"
10.08.2021 21:00,10.08.2021 22:00,"0,946"
10.08.2021 22:00,10.08.2021 23:00,"2,536"
10.08.2021 23:00,11.08.2021 00:00,"2,102"
11.08.2021 00:00,11.08.2021 01:00,"0,595"
11.08.2021 01:00,11.08.2021 02:00,"0,596"
11.08.2021 02:00,11.08.2021 03:00,"0,571"
11.08.2021 03:00,11.08.2021 04:00,"1,124"
11.08.2021 04:00,11.08.2021 05:00,"0,595"
11.08.2021 05:00,11.08.2021 06:00,"0,567"
11.08.2021 06:00,11.08.2021 07:00,"0,775"
11.08.2021 07:00,11.08.2021 08:00,"1,155"
11.08.2021 08:00,11.08.2021 09:00,"1,055"
11.08.2021 09:00,11.08.2021 10:00,"0,584"
11.08.2021 10:00,11.08.2021 11:00,"0,241"
11.08.2021 11:00,11.08.2021 12:00,"0,72"
11.08.2021 12:00,11.08.2021 13:00,"0,272"
11.08.2021 13:00,11.08.2021 14:00,"0,259"
11.08.2021 14:00,11.08.2021 15:00,"0,24"
11.08.2021 15:00,11.08.2021 16:00,"0,789"
11.08.2021 16:00,11.08.2021 17:00,"0,642"
11.08.2021 17:00,11.08.2021 18:00,"1,668"
11.08.2021 18:00,11.08.2021 19:00,"1,107"
11.08.2021 19:00,11.08.2021 20:00,"0,591"
11.08.2021 20:00,11.08.2021 21:00,"1,118"
11.08.2021 21:00,11.08.2021 22:00,"0,617"
11.08.2021 22:00,11.08.2021 23:00,"1,112"
11.08.2021 23:00,12.08.2021 00:00,"0,777"
12.08.2021 00:00,12.08.2021 01:00,"0,578"
12.08.2021 01:00,12.08.2021 02:00,"0,117"
12.08.2021 02:00,12.08.2021 03:00,"0,641"
12.08.2021 03:00,12.08.2021 04:00,"0,103"
12.08.2021 04:00,12.08.2021 05:00,"0,114"
12.08.2021 05:00,12.08.2021 06:00,"0,105"
12.08.2021 06:00,12.08.2021 07:00,"0,125"
12.08.2021 07:00,12.08.2021 08:00,"0,959"
12.08.2021 08:00,12.08.2021 09:00,"0,169"
12.08.2021 09:00,12.08.2021 10:00,"0,169"
12.08.2021 10:00,12.08.2021 11:00,"0,414"
12.08.2021 11:00,12.08.2021 12:00,"0,429"
12.08.2021 12:00,12.08.2021 13:00,"0,176"
12.08.2021 13:00,12.08.2021 14:00,"0,181"
12.08.2021 14:00,12.08.2021 15:00,"0,177"
12.08.2021 15:00,12.08.2021 16:00,"1,692"
12.08.2021 16:00,12.08.2021 17:00,"1,501"
12.08.2021 17:00,12.08.2021 18:00,"0,509"
12.08.2021 18:00,12.08.2021 19:00,"1,4"
12.08.2021 19:00,12.08.2021 20:00,"1,709"
12.08.2021 20:00,12.08.2021 21:00,"2,426"
12.08.2021 21:00,12.08.2021 22:00,"1,863"
12.08.2021 22:00,12.08.2021 23:00,"0,831"
12.08.2021 23:00,13.08.2021 00:00,"1,256"
13.08.2021 00:00,13.08.2021 01:00,"0,592"
13.08.2021 01:00,13.08.2021 02:00,"0,573"
13.08.2021 02:00,13.08.2021 03:00,"0,976"
13.08.2021 03:00,13.08.2021 04:00,"0,759"
13.08.2021 04:00,13.08.2021 05:00,"0,587"
13.08.2021 05:00,13.08.2021 06:00,"0,568"
13.08.2021 06:00,13.08.2021 07:00,"0,584"
13.08.2021 07:00,13.08.2021 08:00,"1,184"
13.08.2021 08:00,13.08.2021 09:00,"0,726"
13.08.2021 09:00,13.08.2021 10:00,"1,021"
13.08.2021 10:00,13.08.2021 11:00,"0,563"
13.08.2021 11:00,13.08.2021 12:00,"1,057"
13.08.2021 12:00,13.08.2021 13:00,"0,752"
13.08.2021 13:00,13.08.2021 14:00,"0,527"
13.08.2021 14:00,13.08.2021 15:00,"0,866"
13.08.2021 15:00,13.08.2021 16:00,"0,759"
13.08.2021 16:00,13.08.2021 17:00,"3,079"
13.08.2021 17:00,13.08.2021 18:00,"1,46"
13.08.2021 18:00,13.08.2021 19:00,"1,214"
13.08.2021 19:00,13.08.2021 20:00,"2,685"
13.08.2021 20:00,13.08.2021 21:00,"1,766"
13.08.2021 21:00,13.08.2021 22:00,"1,096"
13.08.2021 22:00,13.08.2021 23:00,"0,582"
13.08.2021 23:00,14.08.2021 00:00,"0,553"
