Fra,Til,KWH 60 Forbruk
01.09.2020 00:00,01.09.2020 01:00,"0,129"
01.09.2020 01:00,01.09.2020 02:00,"0,13"
01.09.2020 02:00,01.09.2020 03:00,"0,187"
01.09.2020 03:00,01.09.2020 04:00,"0,685"
01.09.2020 04:00,01.09.2020 05:00,"0,13"
01.09.2020 05:00,01.09.2020 06:00,"0,148"
01.09.2020 06:00,01.09.2020 07:00,"0,185"
01.09.2020 07:00,01.09.2020 08:00,"0,13"
01.09.2020 08:00,01.09.2020 09:00,"0,287"
01.09.2020 09:00,01.09.2020 10:00,"0,529"
01.09.2020 10:00,01.09.2020 11:00,"0,157"
01.09.2020 11:00,01.09.2020 12:00,"0,129"
01.09.2020 12:00,01.09.2020 13:00,"0,131"
01.09.2020 13:00,01.09.2020 14:00,"0,202"
01.09.2020 14:00,01.09.2020 15:00,"0,344"
01.09.2020 15:00,01.09.2020 16:00,"0,46"
01.09.2020 16:00,01.09.2020 17:00,"0,16"
01.09.2020 17:00,01.09.2020 18:00,"0,18"
01.09.2020 18:00,01.09.2020 19:00,"0,13"
01.09.2020 19:00,01.09.2020 20:00,"0,131"
01.09.2020 20:00,01.09.2020 21:00,"0,892"
01.09.2020 21:00,01.09.2020 22:00,"0,51"
01.09.2020 22:00,01.09.2020 23:00,"0,476"
01.09.2020 23:00,02.09.2020 00:00,"0,837"
02.09.2020 00:00,02.09.2020 01:00,"0,348"
02.09.2020 01:00,02.09.2020 02:00,"0,291"
02.09.2020 02:00,02.09.2020 03:00,"0,208"
02.09.2020 03:00,02.09.2020 04:00,"0,158"
02.09.2020 04:00,02.09.2020 05:00,"0,726"
02.09.2020 05:00,02.09.2020 06:00,"0,136"
02.09.2020 06:00,02.09.2020 07:00,"0,158"
02.09.2020 07:00,02.09.2020 08:00,"1,006"
02.09.2020 08:00,02.09.2020 09:00,"0,139"
02.09.2020 09:00,02.09.2020 10:00,"0,13"
02.09.2020 10:00,02.09.2020 11:00,"0,173"
02.09.2020 11:00,02.09.2020 12:00,"0,654"
02.09.2020 12:00,02.09.2020 13:00,"0,132"
02.09.2020 13:00,02.09.2020 14:00,"0,143"
02.09.2020 14:00,02.09.2020 15:00,"0,194"
02.09.2020 15:00,02.09.2020 16:00,"0,133"
02.09.2020 16:00,02.09.2020 17:00,"0,808"
02.09.2020 17:00,02.09.2020 18:00,"0,247"
02.09.2020 18:00,02.09.2020 19:00,"0,857"
02.09.2020 19:00,02.09.2020 20:00,"0,252"
02.09.2020 20:00,02.09.2020 21:00,"0,429"
02.09.2020 21:00,02.09.2020 22:00,"0,597"
02.09.2020 22:00,02.09.2020 23:00,"1,197"
02.09.2020 23:00,03.09.2020 00:00,"0,909"
03.09.2020 00:00,03.09.2020 01:00,"0,18"
03.09.2020 01:00,03.09.2020 02:00,"0,36"
03.09.2020 02:00,03.09.2020 03:00,"0,753"
03.09.2020 03:00,03.09.2020 04:00,"0,196"
03.09.2020 04:00,03.09.2020 05:00,"0,309"
03.09.2020 05:00,03.09.2020 06:00,"0,296"
03.09.2020 06:00,03.09.2020 07:00,"0,715"
03.09.2020 07:00,03.09.2020 08:00,"0,772"
03.09.2020 08:00,03.09.2020 09:00,"1,502"
03.09.2020 09:00,03.09.2020 10:00,"0,857"
03.09.2020 10:00,03.09.2020 11:00,"0,182"
03.09.2020 11:00,03.09.2020 12:00,"0,206"
03.09.2020 12:00,03.09.2020 13:00,"0,896"
03.09.2020 13:00,03.09.2020 14:00,"0,464"
03.09.2020 14:00,03.09.2020 15:00,"0,245"
03.09.2020 15:00,03.09.2020 16:00,"0,37"
03.09.2020 16:00,03.09.2020 17:00,"0,161"
03.09.2020 17:00,03.09.2020 18:00,"0,173"
03.09.2020 18:00,03.09.2020 19:00,"0,939"
03.09.2020 19:00,03.09.2020 20:00,"0,421"
03.09.2020 20:00,03.09.2020 21:00,"1,485"
03.09.2020 21:00,03.09.2020 22:00,"0,691"
03.09.2020 22:00,03.09.2020 23:00,"0,783"
03.09.2020 23:00,04.09.2020 00:00,"2,118"
04.09.2020 00:00,04.09.2020 01:00,"2,039"
04.09.2020 01:00,04.09.2020 02:00,"0,223"
04.09.2020 02:00,04.09.2020 03:00,"0,348"
04.09.2020 03:00,04.09.2020 04:00,"0,201"
04.09.2020 04:00,04.09.2020 05:00,"0,813"
04.09.2020 05:00,04.09.2020 06:00,"0,226"
04.09.2020 06:00,04.09.2020 07:00,"0,343"
04.09.2020 07:00,04.09.2020 08:00,"1,305"
04.09.2020 08:00,04.09.2020 09:00,"0,38"
04.09.2020 09:00,04.09.2020 10:00,"0,27"
04.09.2020 10:00,04.09.2020 11:00,"1,09"
04.09.2020 11:00,04.09.2020 12:00,"0,448"
04.09.2020 12:00,04.09.2020 13:00,"2,331"
04.09.2020 13:00,04.09.2020 14:00,"0,861"
04.09.2020 14:00,04.09.2020 15:00,"1,031"
04.09.2020 15:00,04.09.2020 16:00,"1,167"
04.09.2020 16:00,04.09.2020 17:00,"0,945"
04.09.2020 17:00,04.09.2020 18:00,"1,228"
04.09.2020 18:00,04.09.2020 19:00,"2,963"
04.09.2020 19:00,04.09.2020 20:00,"1,295"
04.09.2020 20:00,04.09.2020 21:00,"4,233"
04.09.2020 21:00,04.09.2020 22:00,"3,57"
04.09.2020 22:00,04.09.2020 23:00,"1,684"
04.09.2020 23:00,05.09.2020 00:00,"1,837"
05.09.2020 00:00,05.09.2020 01:00,"1,002"
05.09.2020 01:00,05.09.2020 02:00,"0,653"
05.09.2020 02:00,05.09.2020 03:00,"0,51"
05.09.2020 03:00,05.09.2020 04:00,"1,056"
05.09.2020 04:00,05.09.2020 05:00,"0,499"
05.09.2020 05:00,05.09.2020 06:00,"0,516"
05.09.2020 06:00,05.09.2020 07:00,"0,581"
05.09.2020 07:00,05.09.2020 08:00,"0,509"
05.09.2020 08:00,05.09.2020 09:00,"1,083"
05.09.2020 09:00,05.09.2020 10:00,"0,655"
05.09.2020 10:00,05.09.2020 11:00,"0,901"
05.09.2020 11:00,05.09.2020 12:00,"2,014"
05.09.2020 12:00,05.09.2020 13:00,"1,903"
05.09.2020 13:00,05.09.2020 14:00,"1,376"
05.09.2020 14:00,05.09.2020 15:00,"1,297"
05.09.2020 15:00,05.09.2020 16:00,"0,655"
05.09.2020 16:00,05.09.2020 17:00,"0,976"
05.09.2020 17:00,05.09.2020 18:00,"1,616"
05.09.2020 18:00,05.09.2020 19:00,"2,24"
05.09.2020 19:00,05.09.2020 20:00,"2,45"
05.09.2020 20:00,05.09.2020 21:00,"1,045"
05.09.2020 21:00,05.09.2020 22:00,"0,874"
05.09.2020 22:00,05.09.2020 23:00,"2,192"
05.09.2020 23:00,06.09.2020 00:00,"1,664"
06.09.2020 00:00,06.09.2020 01:00,"1,144"
06.09.2020 01:00,06.09.2020 02:00,"0,912"
06.09.2020 02:00,06.09.2020 03:00,"0,795"
06.09.2020 03:00,06.09.2020 04:00,"0,982"
06.09.2020 04:00,06.09.2020 05:00,"0,329"
06.09.2020 05:00,06.09.2020 06:00,"0,279"
06.09.2020 06:00,06.09.2020 07:00,"0,596"
06.09.2020 07:00,06.09.2020 08:00,"0,434"
06.09.2020 08:00,06.09.2020 09:00,"0,369"
06.09.2020 09:00,06.09.2020 10:00,"0,387"
06.09.2020 10:00,06.09.2020 11:00,"2,624"
06.09.2020 11:00,06.09.2020 12:00,"3,865"
06.09.2020 12:00,06.09.2020 13:00,"2,155"
06.09.2020 13:00,06.09.2020 14:00,"1,302"
06.09.2020 14:00,06.09.2020 15:00,"1,284"
06.09.2020 15:00,06.09.2020 16:00,"0,839"
06.09.2020 16:00,06.09.2020 17:00,"0,734"
06.09.2020 17:00,06.09.2020 18:00,"3,621"
06.09.2020 18:00,06.09.2020 19:00,"2,639"
